TURNO	Data e Hora	PNP	Detalhes PNP	Observação PNP	Mista 2	Mista 3	CCME 	Buffer	Contagem	3AB	RETRABALHO	Campos e Tarefas	Rim   	Observação Geral	Qtd.linhas
TURNO 2	10/08/2025 21:57:19	Reportar PNP	Linha: Cremes C7 | Tempo: 1/h | Peças: 2592 | Resp: GPP  - mudança de ordem  1614610 para ordem 1614611 ordem cortada.  Solicitação de abastecimento da ordem 1614151 as 7:25 no chat grupo da separação.	[Cremes C7]: .	Demanda controlada	Demanda controlada	41 paletes reintegrados  01 item solicitação de saldo	Abastecido	4 item Me Material no piso aguardando liberação Lista disponível para turno da noite 24 itens pendente solicitar	Controlado nas 3 portas	340662 - FIFO da H9 separada 340666 - mista 2 separada  340665 - mista 2 separada	Sem informação	Rim H4 - baixa realizada		Hidro: 8, Cremes: 9
TURNO 3	10/08/2025 06:06:23	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado .	Atuamos, controlado.	Abastecido e controlado.	Contamos 1 itens (Devido o piso cheio, aguardado liberação ) Lista com 10 itens para o 1° Turno.	Atuamos controlado.	retrabalho :340662 - Fifo da H9.  340666 e 340665 - Abastecida .  340667 -  Aguardando desbloqueio da qualidade.	62013,28			Hidro: 7, Cremes: 9
TURNO 1	11/08/2025 13:59:57	Sem PNP Creme / Hidro	N/A	N/A	Controlada.	Controlada.	Controlado, atuamos nos materiais sem saldo.	Controlada.	Contamos 7 itens. Lista pronta com 10 itens para 2º turno	Paletes apontados no final de turno.  Área da expansão de Cremes e Porta Rayflex de Hidro.	340662 e 340667 - Fifo da H9 / COMPLEMENTAR DO RETRABALHO 340563 CARTUCHO EM DESCIDA 340666 e 340665 - Abastecida	Em atuação.	Sem Demanda	Tivemos dificuldade na disponibilidade de gaiolas. Maquina 07 se encontra na sala de bateria em manutenção.	Hidro: 9, Cremes: 10
TURNO 2	11/08/2025 22:02:25	Sem PNP Creme / Hidro	N/A	N/A	Piso com baixa demanda, esteira controlada	Piso com baixa demanda, esteira controlada	43 paletes reintegrados  10 reintegrados de solicitação de saldo	Abastecido e organizado	Contamos 8 itens da lista de 10 deixada pelo 1T (2 não gerou contagem) Lista com 19 itens deixada para o 3T solicitar e contar	Expansão- Ok baixa demanda Cremes- Ok baixa demanda Hidros- Ok baixa demanda	Ordem 340557 100% abastecida	Sem informação	RIM de Hidros solicitada - 3t acompanhar (abastecer 12.08 as 10hrs)		Hidro: 9, Cremes: 10
TURNO 3	11/08/2025 05:58:22	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Atuamos controlado .	Controlado .	Contamos 6 itens, 35 paletes. Lista com 12 itens .	Controlado .	Ordem 340508: 4000172453 Aguardando desbloqueio da qualidade.	71916,99	Rim H06:  4000224936(Mista 2)		Hidro: 7, Cremes: 9
TURNO 1	12/08/2025 14:13:21	Sem PNP Creme / Hidro	N/A	N/A	Controlada	Controlada	Controlada, atuamos nos materiais sem saldos	Controlada	Armazenamos lista de contagem do 3º turnos ás 09:00, liberados as 08:40. Recontamos 3 Itens do 3º turno. Lista em descida para 2º turno.	Controlado.	Ordem 340508: 4000172453 EM SEPARAÇÃO	Sem Informação	Rim H06:  4000224936 ABASTECIDO NA H6		Hidro: 9, Cremes: 10
TURNO 2	12/08/2025 22:04:13	Sem PNP Creme / Hidro	N/A	N/A	Piso e esteira com baixa demanda	Piso e esteira com baixa demanda	21 Pallets reintegra.  01 pallet aguardando para ser inserido no trâns.	Abastecido e organizado	9 itens contados Lista com 4 itens pendente da lista deixada pelo 1T	Controlado, portas com baixa demanda	340508  - Abastecida na H1 ✅ 340627  -  Abastecida na C8 ✅ 340509  -  Cancelada, retrabalho na C8 apenas da 340627  (Armazenado)❌ 340510  -  Abastecida na H1 ✅  340512  -  PA abastecido na H1 ✅	HIDROS- 11 ITENS - *R$101.288,53*	2 RIM em andamento, acompanhar o email		Hidro: 9, Cremes: 10
TURNO 3	12/08/2025 06:09:15	Sem PNP Creme / Hidro	N/A	N/A	Com paletes pendentes de separação, e para ser direcionado aos FIFOS .	Com paletes pendente de separação.	Atuamos controlado.	Controlado.	Não atuamos. Lista com 10 itens para o 1° Turno .	8 paletes para ser armazenado (Apontados no final do turno)	ORDEM 340668 em descida na mista 2 para abastecimento - Solicitar o desbloqueio da qualidade p/ PA (pallet:70700000325517)	5458,15	RIM C1: [PROJETO INTERNALIZAÇÃO VULT 300ML - 2AP] -Abastecido  Rim H6:  70700000343869 e 70700000439838 - 28 KG do filme 425083.00 ( abastecimento pendente, devido centro de custo estar inválido. Aguardando)		Hidro: 8, Cremes: 11
TURNO 1	13/08/2025 14:03:30	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Controlado, atuamos nos matérias sem saldos	Controlado	Contamos 6 itens! 4 itens em descida por conta do espaço físico.  ( 424400.00 / 424603.01 / 427605.01 e 428389.00 ) Lista Pronta de 10 itens para o 2º turno	Cenário Controlado.	Sem Demanda	Atuamos em 33 itens, totalizando R$ 203.383,28	Sem Demanda	Tivemos Paletização Parada pela manhã.	Hidro: 9, Cremes: 10
TURNO 2	13/08/2025 21:58:36	Sem PNP Creme / Hidro	N/A	N/A	Esteira com baixa demanda, paletes no piso para separar e movimentar	Esteira e piso com baixa demanda	38 Pallets reintegrados 08 Pallets criados saldos e reintegrados 15 pallets de colmeia recebidos de Hidro. 4 foram criados saldos prontos pra armazenar 12 Saldos solicitados (Saldos em aprovação não podemos movimentar)	Abastecido e organizado	2 itens contados pendencia do 1T Lista deixada pelo 1T com 9 itens em descida para o 3T atuar  (Houve um equivoco na lista deixada pelo 1T e solicitamos no 2t os paletes errados, impactando no resultado)	Expansão, Cremes e Hidros com baixa demanda nas portas	340513  - Abastecido na H1 ✅ 340668  -  Desbloqueio pendente ❌ 340511  -  Abastecido na H1 ✅ 340628  - Ordem indisponível  ❌	4 itens - R$ 46.843,23	RIM HIDROS - Separada no piso para abastecimento	- Orientar o time a passar o turno com os notebooks carregados, principalmente CCME  -16 paletes de colmeia retirados de Hidros para atuação na area de tratativa	Hidro: 8, Cremes: 10
TURNO 3	13/08/2025 06:04:55	Sem PNP Creme / Hidro	N/A	N/A	Controlada,  com material pendente de separação e movimentação para o FIFO.	Controlada,  com material pendente de separação e movimentação para o FIFO.	Atuamos controlado.	Controlado.	Contamos 8 itens. Lista com 10 itens para solicitação (38 paletes).	Controlado.	Ordem 340628 completamente abastecida.	86991,17	RIM C1: [PROJETO INTERNALIZAÇÃO VULT 300ML - 2AP] -Abastecido  H6:  70700000343869 e 70700000439838 - 28 KG do filme 425083.00 ( abastecimento pendente, devido centro de custo estar inválido. Aguardando)		Hidro: 8, Cremes: 10
TURNO 1	14/08/2025 14:08:38	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Controlado	Controlado	Contamos 9 itens, 1 item em descida da lista. ( Material no piso aguardando a liberação do CE )  Lista pronta de 10 itens com 72 paletes para 2º turno.	Controlado	340515 UC 702254625 - AGUARDANDO DESBLOQUEIO	Atuação nas tarefas pendentes.	FILME 417929.00 NO PISO PARA ATENDIMENTO A RIM - PALETE 70700000440499 (AGUARDANDO NOVO CÓDIGO P/ DAR BAIXA). Rim H6:  70700000343869 e 70700000439838 - 28 KG do filme 425083.00 ( abastecimento pendente, devido centro de custo estar inválido. Aguardando)	Maquina 12 em Manutenção.	Hidro: 9, Cremes: 11
TURNO 2	14/08/2025 21:56:36	Sem PNP Creme / Hidro	N/A	N/A	Piso e esteira com baixa demanda	Esteira com baixa demanda. Piso com pendências de separação/movimentação	31 paletes reintegrados 13 paletes aguardando criação de saldo (colmeia) Piso CCME limpo✨		2 itens contados (pendencia do 1T + recontagens) Lista com 6 itens no piso 30 Paletes para contar no 3T Lista com 17 itens pendente de solicitação para o 3T 109 paletes	Expansão, Cremes e Hidros sem pendências	340661  - Abastecido na H1 ✅  340515  -  Abastecido na C5 ✅		Sem demanda	Contagem impactada devido liberação dos itens após as 16hrs e divergências para tratativas + Alta demanda de retirada na expedição	Hidro: 9, Cremes: 10
TURNO 3	14/08/2025 06:07:07	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação, e direciona para os FIFOS .	Controlado. Com material pendente de separação, e direciona para os FIFOS .	Atuamos, controlado.	Abastecido e controlado.	Contamos 5 itens . (38 paletes). 17 itens para o 1° Turno (113 Paletes) .	Atuamos controlado.	ORDEM  340509 ABASTECIDA NA H1	50957,1	RIM para teste - Sexta-feira (15/08) às 4h00 na H5 (Material que veio de MP e Palete - 70700000338021) - Material abastecido na H5.	Dificuldade com Gaiola.	Hidro: 7, Cremes: 10
TURNO 1	15/08/2025 14:08:45	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Controlado e atuamos.	Controlado	Contamos 4 itens no total de 30 paletes. ( Aguardando a liberação do CE) Lista pronta para o 2º turno.	Controlado	Ordem 340661 Faltando separar	Atuamos	Sem demanda	Maquina 16, na sala de bateria para manutenção corretiva.	Hidro: 9, Cremes: 11
TURNO 2	15/08/2025 21:58:40	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	38 Pallets reintegra. ✅ 15 pallets de colmeia aguardando criação de saldo.  Área reintegração CCME livre ✨	Abastecido e organizado	5 itens contados, 1 divergência precisou ser eliminada devido superar 2% Lista com 8 itens de ME para solicitar  Lista com 55 paletes Lista de PA com 19 itens 150 paletes	Expansão, cremes e Hidros demanda zerada	340661  - Abastecido na H5 ✅  340686  - Material no piso Em abastecimento ✅	11 itens - R$91.952,99	Sem demanda		Hidro: 9, Cremes: 11
TURNO 3	15/08/2025 06:08:01	Sem PNP Creme / Hidro	N/A	N/A	Controlado, com material pendente de separação e transferir para os FIFOS.	Controlado, com material pendente de separação e transferir para os FIFOS.	Atuamos controlado.	Controlado.	Contamos 7 itens. 17 itens para o 1° turno (256 paletes )	Atuamos. 8 paletes na porta de cremes (apontados no final do turno).		55845,25	RIM para teste - Sexta-feira (15/08) às 4h00 na H5 (Material que veio de MP e Palete - 70700000338021) - Material abastecido na H5 - PENDENTE BAIXA SISTEMICA		Hidro: 8, Cremes: 10
TURNO 1	16/08/2025 13:54:53	Sem PNP Creme / Hidro	N/A	N/A		Zona cheia, porem com alto passivo de pallets ja separados pendentes movimentação para kanban		Ambos abastecidos	3 itens contados, pallets aguardando liberação no fifo de contagem	Controlado!	sem retrabalho	Atuação em campos trânsitorios 105.449,39 reais 3 Tarefas pendentes ajustadas	sem rim abastecida no 1t		Hidro: 8, Cremes: 11
TURNO 2	16/08/2025 22:10:15	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	17 Pallets reintegrados  15 pallets de colmeia aguardando criação de saldo.    12 pallets aguardando criação de saldos para tratativa de CCME.	Abastecido e organizado	8 itens contados, 1 divergência alta. Total 7 liberados  Lista com 7 itens pendente de descida	Portas zeradas (Expansão, Cremes e Hidros)	Sem demanda	9 ITENS - R$60.132,68 - RANGERS 0 > 5 e 16 > 30	Sem demanda	Necessário seguir negociando com o Industrial para consumir as caixas de reuso (excesso no piso)	Hidro: 8, Cremes: 11
TURNO 1	17/08/2025 13:47:08	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Atuando	Controlado	Depois da liberação dos itens já contados , feito a guarda , material no piso para solicitar contagem  e lista pra solicitar	Controlado	Não tem	Atuando	sem RIM para  solicitar		Hidro: 8, Cremes: 10
TURNO 2	17/08/2025 22:11:28	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	37 paletes reintegrados  Paletes de reuso armazenados (excesso no piso)	Abastecido e organizado	1 item do 1T recontado, finalizado e armazenado no 2T Lista criada no 2T com 6 itens, contados e armazenados Lista com 8 itens para verificação e descida no 3T	Portas de 3AB e reintegração com demanda zerada no 2T	Sem demanda	Não atuamos	Sem demanda	Excesso de caixa de reuso no piso. Abastecemos o máximo, mas cremes está disponibilizando na mesma quantidade mantendo o volume no piso.	Hidro: 8, Cremes: 11
TURNO 3	17/08/2025 06:13:11	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com paletes pendentes de separação, e direciona para o FIFO.	Controlado. Com paletes pendentes de separação, e direciona para o FIFO.	Atuamos, controlado.	Controlado.	Contamos 2 itens (38 paletes), estão pendente de liberação pelo controle de estoque.	Controlado.	340690: Abastecido / 340692: 4 Paletes aguardando desbloqueio .	3751,27			Hidro: 7, Cremes: 10
TURNO 1	18/08/2025 13:57:15	Sem PNP Creme / Hidro	N/A	N/A	controlada		Atuando	controlado	27 contado	controlado	340692 abastecendo material no FiFo da H4,   340519 em descida	Atuando	sem solicitação	3 HC em treinamento NR11	Hidro: 8, Cremes: 11
TURNO 2	18/08/2025 22:00:52	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	31 paletes reintegrados  4 paletes sem saldo reintegrados	Abastecido e organizado	6 itens no piso parcialmente conferidos pendente contar e liberar 11 itens pendente solicitar	Portas zeradas	340692 - Ordem abastecida 100% na H1 ✅ 340519  - Ordem abastecida 100% na H1 ✅ 340689 - Ordem seguindo para abastecimento na H1 ✅ 340688 - Ordem em descida para separação e abastecimento na H1 (Desbloqueada)🟡	Não atuamos	Sem demanda	Excesso de caixa de reuso no piso	Hidro: 9, Cremes: 10
TURNO 3	18/08/2025 06:11:40	Sem PNP Creme / Hidro	N/A	N/A	Controlado, com material pendente de separação e direciona para o FIFO.	Controlado, com material pendente de separação e direciona para o FIFO.	Atuamos controlado.	Controlado.	Contamos 7 itens. 4 itens no piso pendente de contagem.  Lista com 12 itens para o 1° turno solicita.	Atuamos controlado,  2 paletes para ser agrupado.	Retrabalho: 340688: Abastecida / 340691: Abastecida 340681/340520: Pendente separação e abastecimento, material na mista 2 (PA 81756)	15893		Dificuldade na gestão de caixa de reuso, temos 6 FIFOS na mista 3 (a fabrica não esta conseguindo consumi as caixas que então gerado,)	Hidro: 7, Cremes: 10
TURNO 1	19/08/2025 14:00:23	Sem PNP Creme / Hidro	N/A	N/A	Alta demanda	Baixa demanda	Controlado	Buffer HIDRO - abastecido. / BUFFER CREMES	Sem atuação, lista do 3t ainda em piso pendente contar	Controlado!	340683 Uc 70700000306576		SEM RIM	Maquina 16 com encaixe do carregador quebrado. Maquina aos cuidados de Vagner	Hidro: 8, Cremes: 11
TURNO 2	19/08/2025 21:45:48	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	32 paletes reintegrados  1 palete sem saldo tratado e reintegrado 9 paletes aguardando criação de saldo	Abastecido e organizado	4 itens 25 paletes contados no T2 com 1 divergência - total de 3 itens contados e liberados  Lista com 4 itens 35 paletes para o 3T	Expansão, Cremes e Hidros com baixa demanda	340683 -  Abastecida na H1 ✅ 340516 - Abastecida na C8 ✅	Não atuamos	Sem demanda	Apesar do alto consumo no 2T ainda temos muitas caixas de reuso ocupando o piso As fábricas estão disponibilizando gaiolas para retirada na passagem de turno, impactando o início do turno que está chegando.	Hidro: 9, Cremes: 11
TURNO 3	19/08/2025 06:05:39	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação e direciona ao FIFO.	Controlado. Com material pendente de separação e direciona ao FIFO.	Atuamos, controlado.	Atuamos controlado.	Contamos 6 itens, mas 5 gerou recontagem, o 1° turno vai  atuar. Deixamos lista com 10 itens de PA e 5 de ME .	Atuamos controlado.	340682: 4000086868 / 997126765(Aguardando desbloqueio da qualidade)	24687,54			Hidro: 8, Cremes: 10
TURNO 1	20/08/2025 14:04:16	Sem PNP Creme / Hidro	N/A	N/A	Controlada.	Controlada.	Atuamos na fábrica e nos matérias sem saldos.	Controlado.	Contamos 7 itens. Lista Pronta para 2º turno - 9 Itens de PA com 115 Paletes.	Controlado.	Sem Solicitação.	Atuamos nas tarefas pendentes e campos transitórios.	Sem Solicitação.	Tivemos a troca da sequencia de OP 500667 para 1615241 da linha C7. Maquina ERE 12 em manutenção.	Hidro: 9, Cremes: 11
TURNO 2	20/08/2025 22:07:19	Reportar PNP	Linha: C1 | Tempo: 44min | Peças: 200 | Resp: Logística	[C1]: Houve uma solicitação de antecipação não atendida para a linha C1 Ao assumir o turno recebemos o pedido de ajuda do industrial e atuamos de imediato no envio dos ME’s. Porém houve uma falha na separação do Rotulo verso que foi entregue no repacking com o saldo preso no recurso do conferente.  Atuamos e entregamos o saldo para confirmação na PSA as 14:44.	Esteira e piso com alta demanda	Esteira com baixa demanda, piso com pendencias de separação e excesso da C2	04 pallets de colmeia aguardando criação de saldo. 01 pallet colmeia reintegrado 01 pallet não apontado aos cuidados de hidro 01 pallet aguardando criação de saldo  04 pallets aguardando criação de saldo para reativa de ccme.  07 pallets aguardando retirada para o novo armazém.  06 pallets aguardando para ser inseridos no armazém novo 29 Pallets reintegrados.	Abastecido e organizado	0 itens contados da lista de 4 itens com 45 paletes (em descida) 13 itens de PA liberados pelo time de CE para o 3t e 1t atuar Lista com 8 itens de PA para o 3T gerada pelo 2T para solicitar (validada a criação de saldo em 1ab contagem)	Expansão zerada Cremes com paletes apontados no final do turno Hidros com paletes apontados no final do turno	Sem demanda	23 ITENS - R$106.780,4  (RANGERS 0 > 5 e 6 > 15)	Sem demanda	Devido a alta demanda de retirada na expedição, hidros e cremes tivemos dificuldade na descida dos 45 paletes da lista com 4 itens de PA Alta demanda de 3AB, controlamos o passivo deixado pelo 1T, porém a demand seguiu alta	Hidro: 9, Cremes: 11
TURNO 3	20/08/2025 06:02:13	Sem PNP Creme / Hidro	N/A	N/A	Controlado.  Com paletes pendente de separação e direciona para o FIFO.	Controlado.  Com paletes pendente de separação e direciona para o FIFO.	Atuamos. Controlado.	Controlado.	Contamos 4 itens (48 paletes). Lista com 8 itens para solicita, mais a lista que o CE, ajustou para conta .	Atuamos controlado.					Hidro: 7, Cremes: 11
TURNO 1	21/08/2025 13:58:35	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Atuamos e Controlado.	Controlado.	Contamos 6 itens PA. ( Aguardando a liberação do CE para armazenagem ) • Lista com 12 itens para solicitar, mais a lista que o CE, ajustou para contar.	Tivemos parada de 1:30hs da Paletização. ( Manutenção e Rejeito ) Controlado!	340517 e 340676 Abastecida na H1	10 itens totalizando R$ 104.916,27 com os PRDs de 0 á 15 dias.	Sem Solicitação.	Maquina 21 em manutenção. Precisamos coletar todos os paletes vazios do industrial para enviar para o Recebimento.	Hidro: 9, Cremes: 11
TURNO 2	21/08/2025 22:11:17	Sem PNP Creme / Hidro	N/A	N/A	Piso e esteira com baixa demanda	Esteira com baixa demanda piso com pendencias de separação	Piso organizado✨ 04 pallets de colmeia aguardando criação de saldo.  01 pallet não apontado aos cuidados de hidro. 01 pallet aguardando criação de saldo  04 pallets aguardando criação de saldo para tratativa 35 Pallets reintegrados	Abastecido e organizado	4 itens contados da lista com 6 deixada pelo 1T (1 item não gerou documento) Lista com 6 itens 16 paletes deixada para o 3T(ja validados a criação de documento em 1AB contagem)	Zeramos o alto passivo deixado pelo 1T (devido parada da paletização) Expansão, porta de cremes e Hidros com baixa demanda	Sem demanda	29 ITENS - *R$53.413,36* - RANGERS 0 > 5 e 6 >15	Sem demanda	Passivo alto de 3AB atuamos e zeramos a demanda  Paletes no piso de contagem liberados para armazenagem	Hidro: 9, Cremes: 12
TURNO 3	21/08/2025 06:13:48	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação e direciona para o FIFO.	Controlado. Com material pendente de separação e direciona para o FIFO.	Atuamos controlado.	Controlado .	Não atuamos.  Lista com 6 itens para o 1° turno .	Controlado.		R$ 5.856.29			Hidro: 7, Cremes: 10
TURNO 1	22/08/2025 13:58:59	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Atuamos e Controlado.	Controlado.	Lista Pronta para 2º turno de 6 itens de PA com 114 paletes.	Controlado.	Solicitar ordens de transformação para C4 - dar continuidade	Atuamos nos Campos transitório e nas tarefas pendentes.	Controlado.	Maquina 12 em Manutenção. TRANS 02 parado, em manutenção corretiva, previsão 14:00.	Hidro: 9, Cremes: 13
TURNO 2	22/08/2025 21:51:27	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demand	Esteira com baixa demanda, piso com pendencias de separação	32 paletes reintegrados  6 paletes de badejas enviados para o novo armazem 4 paletes de colmeia aguardando criação de saldo 8 paletes para tratativa  4 paletes pendente de armazenamento	Abastecido e organizado	5 itens contados no 2T, pendente de liberação e armazenamento  Lista com 7 itens 35 paletes (baixa de estoque realizada pelo 2T) Lista com 4 itens 59 paletes (Gerada no 1T)  Total de 11 itens de PA deixado para o 3T solicitar e contar	Portas com baixa demanda (Industrial movimentando paletes no final do turno)	340668 -  Abastecido na H1 ✅ 340664 - Material no piso. Aguardando desbloqueio 🟡 (Limitante de 96 pcs)	19 ITENS R$ 91.512,47 RANGERS : 0 > 5, 16 > 30 e > 30	Sem demanda	Industrial Cremes movimentando paletes e gaiolas no final do turno Maquina 07 apresentando vazamentos novamente  Dificuldade de encontrar maquinas boas para operar 4 paletes na mista3 para inventario de CE (Item 427076.00 identificado)	Hidro: 9, Cremes: 12
TURNO 3	22/08/2025 06:15:55	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação e aloca nos FIFOS.	Controlado. Com material pendente de separação e aloca nos FIFOS.	13 paletes pendente, de tratativa.	Controlado.	Contamos 7 itens, 3 estava com  divergência.  Lista com 4 itens para o 1 Turno, com 59 paletes.	Controlado.	ORDEM 340664 EM ABASTECIMENTO	10895,8	[PROJETO EXPLORER - RIM] - H3 às 4h00 de Segunda-feira (25/08).		Hidro: 7, Cremes: 10
