Data	Expedição 0 a 4 dias	Expedição 5 dias	Expedição 6 a 14 dias	Expedição 15 dias	Expedição 16 a 29 dias	Expedição 30 dias	Expedição + 30 dias	Expedição Total	Expedição 999	MP 0 a 4 dias	MP 5 dias	MP 6 a 14 dias	MP 15 dias	MP 16 a 29 dias	MP 30 dias	MP + 30 dias	MP Total	MP 999	Separação 0 a 4 dias	Separação 5 dias	Separação 6 a 14 dias	Separação 15 dias	Separação 16 a 29 dias	Separação 30 dias	Separação + 30 dias	Separação Total	Separação 999	Recebimento  0 a 4 dias	Recebimento  5 dias	Recebimento  6 a 14 dias	Recebimento  15 dias	Recebimento  16 a 29 dias	Recebimento  30 dias	Recebimento  + 30 dias	Recebimento  Total	Recebimento  999	Arm. Estojo 0 a 4 dias	Arm. Estojo  5 dias	Arm. Estojo  6 a 14 dias	Arm. Estojo  15 dias	Arm. Estojo  16 a 29 dias	Arm. Estojo  30 dias	Arm. Estojo  + 30 dias	Arm. Estojo  Total	Arm. Estojo  999
31/07/2025	R$ 423,00	R$ 6,00	R$ 64,00	R$ 6,00	R$ 5,00	R$ 23.123,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 1,00	R$ 23,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
01/08/2025	R$ 42,00	R$ 6,00	R$ 579,00	R$ 6,00	R$ 5,00	R$ 1,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 31,00	R$ 2,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
02/08/2025	R$ 34,00	R$ 6,00	R$ 78,00	R$ 231,00	R$ 23,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 31,00	R$ 2,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
03/08/2025	R$ 23,00	R$ 6,00	R$ 9.865,00	R$ 1,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 23,00	R$ 1,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
04/08/2025	R$ 5,00	R$ 6,00	R$ 43,00	R$ 1,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 23,00	R$ 123,00	R$ 1,00	R$ 1,00	R$ 231,00	R$ 2,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
05/08/2025	R$ 526,00	R$ 6,00	R$ 2.312,00	R$ 23,00	R$ 31,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
06/08/2025	R$ 3,00	R$ 6,00	R$ 4,00	R$ 6,00	R$ 2,00	R$ 1,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
07/08/2025	R$ 5,00	R$ 6,00	R$ 67,00	R$ 6,00	R$ 5,00	R$ 23,00	R$ 1,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
08/08/2025	R$ 23,00	R$ 6,00	R$ 868,00	R$ 6,00	R$ 5,00	R$ 23,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
09/08/2025	R$ 523,00	R$ 6,00	R$ 6,00	R$ 12,00	R$ 31,00	R$ 6,00	R$ 1,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
10/08/2025	R$ 41,00	R$ 76,00	R$ 543,00	R$ 6,00	R$ 5,00	R$ 3,00	R$ 12,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
11/08/2025	R$ 23,00	R$ 45,00	R$ 21,00	R$ 6,00	R$ 5,00	R$ 31,00	R$ 23,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
12/08/2025	R$ 1,00	R$ 346,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
13/08/2025	R$ 5,00	R$ 34,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
14/08/2025	R$ 246,00	R$ 342,00	R$ 676,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
15/08/2025	R$ 221,00	R$ 52,00	R$ 45.321,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
16/08/2025	R$ 4,00	R$ 654,00	R$ 45,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
17/08/2025	R$ 235,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
18/08/2025	R$ 36,00	R$ 80,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
19/08/2025	R$ 65,00	R$ 7.897,00	R$ 5.432,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
20/08/2025	R$ 86,00	R$ 75,00	R$ 4,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
21/08/2025	R$ 978,00	R$ 645,00	R$ 567,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
