Turno	Data e hora	Pallets expedidos	Total de cargas	Em descida	Zona mista	Piso novo armazém	Fifo 1	Fifo 2	Fifo 3	Fifo 4	Fifo 5	Observação	Responsável	Dedutível	FPLOG EM ATRASO	Mapa em atraso	Odisseia em atraso
TURNO 1	09/11/2025	160	6	ZERADO	PLTS PARA VERIFICAR	ZERADO	FPLOG - PEND. COLETA AD. SGC 05.11 (901137288) - PEND. BIPAR AD. SGC 06.11 (901138296) - PEND. BIPAR AD. SGC 07.11 (901137940) - PEND. BIPAR AD. SGC 08.11 (901138683) - PEND. BIPAR SOBRA SGC 08.11 (901136913) - PEND. BIPAR AD. SGC 06.11 (901144983) - PEND. BIPAR AD. REGISTRO 07.11 1 PLT (901144769)  PEND. BIPAR	SJP (900975188) EM CARREAGEMENTO	VARGINHA EM CARREGAMENTO	F1 FATURADO - AG. BAÚ (901139375)	F1- EM SEPARAÇÃO  (FIFO4A SISTEMICO)	1 BAU DA LOGIC CARREGADO NO PATIO (RCU5G73) FOI REANALISADO AS ADERÊNCIAS DO DIA 04.11 ATÉ 08.11 ( ENCONTRAMOS PLTS COM ERRO LIQUIDO E EMAIL ENVIADO)	Nicole Vieira				
TURNO 2	09/11/2025	0	0	SEM SOLICITAÇÃO	PALETES SEM SALDO PALETES DIVERGENTE 3 PALETES DA CARGA SJP BLOQUEADOS	COM PREVISÃO DE MONTAR PROXIMAS CARGAS FORMULA1	FPLOG AD. REGISTRO  06/11 RM.901144769  AD. SGC 06/11 RM.901144983  AD. SGC 08/11 RM.90138683  AD.SGC 07/11 RM.901137940  AD.SGC 06/11 RM.901138296  AD.SGC 05/11 RM.901137288  MAPA SGC 08/11 RM.901136913	SJP RM.900912826  MP RM.900978215	FORMULA1  2 FILAS EXTORNADAS  2 FILAS PND. EXTORO	FORMULA 1 FATURADA RM.901139375 AGUARDANDO ACARREGAMENTO	FORMULA1  CARGA PRONTA NO FIFO4A PARA CRIAR REMESSA   16 PALETES PND. EXTORNO	NOTA DE VARGINHA PENDENTE TM COM 6 REMESSAS NOTA SJP PENDENTE TM CARGA LOGIC PENDENTE REMESSA REMESSA 900912826 SEGUIR COM PROCESSOS	Rogerio Oliveira	SEM SOLICITÃO			
TURNO 3	10/11/2025	146	4	SEM SOLICITAÇÃO	PALETES SEM SALDO PALETES DIVERGENTE 3 PALETES DA CARGA SJP BLOQUEADOS	VAZIO	FPLOG AD. REGISTRO 06/11 (901144769) - PEND BIPAR AD. SGC 06/11 (901144983) AD. SGC 08/11 (90138683) AD.SGC 07/11 (901137940) AD.SGC 06/11 (901138296) AD.SGC 05/11 (901137288) SOBRA SGC 08/11 (901136913)	SJP (900912826) - PEND SEPARAR MP (900978215) - PEND FATURAR (FIFOMP)	F1 - AGUARDANDO BAÚ (901172125)	F1 - AGUARDANDO BAÚ (901139375)	F1 - AGUARDANDO BAÚ (901174495) F1 - AGUARDANDO BAÚ (901170092)	ADERÊNCIA PENDENTE AJUSTE DRP	Santos Gisele	SEM SOLICITAÇÃO			
TURNO 1	10/11/2025	115	3	MAPA SGC 11/11	AD. REGISTRO 06/11 (901144769) - PEND BIPAR	VAZIO	FPLOG - LO LIVRE (900849324)	EM DESCIDA MAPA SGC 11/11 AD. SGC 06/11 (901144983) AD. SGC 08/11 (90138683) AD.SGC 07/11 (901137940) AD.SGC 06/11 (901138296) AD.SGC 05/11 (901137288) SOBRA SGC 08/11 (901136913)	F1 - AGUARDANDO BAÚ (901172125) F1 - AGUARDANDO BAÚ (901178402)	F1 - AGUARDANDO BAÚ (901139375)	F1 - AGUARDANDO BAÚ (901174495) F1 - AGUARDANDO BAÚ (901170092) - PENDENTE CARREGAMENTO - BAU NA DOCA 1	LISTA DIA 11/11 CRIADA SGC/REGISTRO/PARANA PENDENTE CRIAR LISTA VARGINHA 11/11   Cockpit Split de Remessas - Stock Reading Error (FORA DO AR) - 2243357	Ellen Carolina				
TURNO 2	10/11/2025	153	5	SOBRA DE REGISTRO 11.11 VARGINHA 11.11	3AB ESTOJOS		FP LOG - PEND. NF REGISTRO 11.11 - PEND. REMESSA AD. REGISTRO 06.11 1  PLT - PEND. BIPAR AD. REGISTRO 08.11 1 PLT - PEND. BIPAR SGC 11.11 - EM CARREGAMENTO	REGISTRO 11.11 - PEND. SEPARAÇÃO	SGC 11.11 - PEND. CARREGAMENTO REGISTRO 11.11 - EM DESCIDA	F1 - 1 CARGA PRONTA PEND. REMONTAR	F1 - EM CARREGAMENTO F1 - PEND. 5 PLTS PARA FECHAR CARGA	LISTA PRONTA 11.11  PEND. MAPEAR ADERÊNCIA DE SGC 11.11 2 BAÚS DA PIZZATTO COM LOGIC - REALIZAR TRANSBORDO	Ccarvalhosilva				
TURNO 3	11/11/2025	351	11	2 PALETES FP LOG - 901196841	3AB ESTOJO - PENDENTE ESTORNAR  SOBRA REGISTRO 11.11 (901232083) - P. BIPAR AD. SGC 11.11 (901236318) - P. BIPAR	ZERADO	FP LOG - PEND. NF PARANÁ - P.  SOBRA DE VARGINHA 11.11 (901236122)- PENDENTE BIPAR  PARANÁ 11.11 (901236026) - PENDENTE CARREGAMENTO / TM	ZERADO	AD. REGISTRO 11.11 - PENDENTE SEPARAR  SOBRA DE PARANÁ 11.11 (901236297) - P. BIPAR	F1 - PALETES PENDENTE ESTORNO  F1 - AGUARDANDO DESBLOQUEIO DA QUALIDADE	F1 - AGUARDANDO BAÚ (901232720)	2 BAÚS DA PIZZATTO COM LOGIC - REALIZAR TRANSBORDO IMPRESSORA COM PROBLEMA  TOMADAS SEM FUNCIONAR (CHAMADO ABERTO - FCR0151487)  ITENS COM VALOR LIQUIDO: 84739, 88077, 49252, 56000, 88005 PENDENTE MAPEAR A ADERÊNCIA PARANÁ E VARGINHA	Nicolly Araujo	0	0	0	0
TURNO 1	11/11/2025	175	2	PARANÁ	3AB ESTOJO - PENDENTE ESTORNAR SOBRA REGISTRO 11.11 (901232083) - P. BIPAR AD. SGC 11.11 (901236318) - P. BIPAR AD. SGC 08.11 PEND. CRIAR REMESSA	ZERADO	FP LOG - PEND. NF FPLOG PEND. SPLIT  SOBRA DE VARGINHA 11.11 (901236122)- PENDENTE BIPAR AD.VARGINHA 11.11 (901258255) -PENDENTE BIPAR AD. VARGINHA 11.11 (901261847) PENDENTE BIPAR	AD. REGISTRO 11.11 (901239750) PENDENTE BIPAR PARANÁ 11.11 (901236297) PENDENTE BIPAR AD. PARANÁ 11.11 (901262616) PENDENTE BIPAR	F1 - AGUARDANDO BAÚ (901259997)	F1 (901239763) EM CARREGAMENTO	F1 - AGUARDANDO BAÚ (901242229) F1 PEND. ESTORNO	2 BAÚS DA PIZZATTO COM LOGIC - REALIZAR TRANSBORDO IMPRESSORA COM PROBLEMA TOMADAS SEM FUNCIONAR (CHAMADO ABERTO - FCR0151487) MANUTENÇÃO ATUANDO  ITENS COM VALOR LIQUIDO: 84739, 88077, 49252, 56000, 88005 - IMPACTANDO EM NOSSA ADERÊNCIA  LISTA 11.11 CRIADA REGISTRO E PARANÁ  PEND. CRIAR SGC E VARGINHA 11.11	Nicole Vieira				
TURNO 2	11/11/2025	186	5	SOBRA VARGINHA 12.11 REGISTRO 12.11 BOTICA SP REMESSA 901193018	AD. SGC 11.11 (901236318) 3 PLTS - P. BIPAR AD. SGC 08.11 1 PLT - PEND. BIPAR  SOBRA REGISTRO 11.11 (901232083) 2 PLTS - P. BIPAR AD. REGISTRO 11.11 5 PLTS - PEND. BIPAR 3AB ESTOJOS		FP LOG - PEND. NF FPLOG PEND. SPLIT VARGINHA - EM CARREGAMENTO PLTS PARA ARMAZENAR - VALOR LÍQUIDO (CX PARA CIMA)	VARGINHA 12.11 - EM DESCIDA	VARGINHA 12.11 (DOUBLE DECK) - PEND. SPLIT	F1 - PEND. REMESSA	F1 - 3 FILEIRAS SEPARADAS (FIFO 4A)	PEND. SOLICITAR AD. VARGINHA E PARANÁ 11.11  2 BAÚS DA PIZZATTO COM LOGIC - REALIZAR TRANSBORDO ITENS COM VALOR LIQUIDO: 84739, 88077, 49252, 56000, 88005 PEND. MAPEAR AD. PARANÁ 12.11	Ccarvalhosilva				
TURNO 3	12/11/2025	330	8	SGC 12.11 SOBRA DE REGISTRO 12.11	AD. VARGINHA 11.11 (901336881) - P. BIPAR  AD. PARANÁ 11.11 (901337200) - P. BIPAR	ZERADO	FP LOG - PEND. NF FPLOG PEND. SPLIT SGC 12.11 - PENDENTE CRIAR REMESSA (Fifo 01)  + AD. (901236318) + AD (901285120) - PENDENTE BIPAR  SOBRA DE REGISTRO 12.11 - PENDENTE BIPAR E CHECK	SGC 12.11 - EM DESCIDA	REGISTRO 12.11  + SOBRA  (901232083) + AD (9012397500) - AMBAS PENDENTE BIPAR E CHECK	F1 - AGUARDANDO BAÚ (901336954) - PENDENTE ADGI	2 FILEIRAS SEPARADAS NO 4A  F1 - PALETES PARA ESTONAR	LISTA DE BOTICA SP (901193007 E 901193009) CRIADAS PENDENTE SOLICITAR  PENDENTE MAPEAR BOTICA SP ( 901193013)  ADERÊNCIA 12.11 DE VARGINHA E PARANÁ - PENDENTE SOLICITAR  2 BAÚS DA PIZZATTO COM LOGIC - REALIZAR TRANSBORDO ITENS COM VALOR LIQUIDO: 84739, 88077, 49252, 56000, 88005	Nicolly Araujo	0	0	0	0
TURNO 1	12/11/2025	227	6	BOTICA SP (901193007) AD. PARANÁ 12.11	AD. VARGINHA 11.11 (901336881) - P. BIPAR AD. PARANÁ 11.11 (901337200) - P. BIPAR AD. PARANÁ 12.11 PEND. SEPARAR 3 PLTS DA QUALIDADE	ZERADO	FP LOG - PEND. COLETA  FPLOG COM LO LIVRE BOTICA SP REMESSA (901193013) PEND. CARREGAMENTO SOBRA DE REGISTRO (901338201) 12.11 - PEND. CARREGAMENTO AD. DE REGISTRO (901356753) 12.11 - PEND. CARREGAMENTO	BOTICA SP (901193007) PEND. SEPARAR	BOTICA SP (901193007) PEND. BIPAR AD.E MAPA SGC 12.11 (901346031/901357841) PEND. BIPAR	F1 - AGUARDANDO BAÚ (901336954)  F1- AG. DESBLOQUEIO	F1 - AGUARDANDO BAÚ (901346043)	LISTA 13.11 CRIADA PARANÁ E REGISTRO  PEND. CRIAR LISTA SGC E VARGINHA 13.11 AD. VARGINHA 12.11 PEND. SOLICITAR 2 BAÚS DA PIZZATTO COM LOGIC - REALIZAR TRANSBORDO ITENS COM VALOR LIQUIDO: 84739, 88077, 49252, 56000, 88005	Nicole Vieira				
TURNO 2	12/11/2025	283	10	SGC 13.11	AD PARANÁ 11.11 2 PLTS - PEND. BIPAR AD PARANÁ 12.11 6 PLTS - PEND. BIPAR AD PARANÁ 11.11 - PEND. SEPARAR AD REGISTRO 11.11 E 12.11 - PEND. SEPARAR AD SGC 11.11 - PEND. SEPARAR		FP LOG - PEND. COLETA FP LOG - PEND. NF AD VARGINHA 11.11 1 PLT - PEND. BIPAR AD VARGINHA 12.11 10 PLTS - PEND. BIPAR SGC 13.11 - EM CARREGAMENTO	SGC 13.11 (DOUBLE DECK) - EM SEPARAÇÃO	BOTICA SP - PEND. SM	F1 - 1 CARGA PEND. CARREGAMENTO F1 - 1 FILEIRA PEND. ESTORNO	F1 - 3 FILEIRAS PEND. ESTORNO	LISTA CRIADA 13.11 PEND. SOLICITAR AD. SGC 12.11 PEND. MAPEAR AD. REGISTRO 13.11 1 BAÚ PIZZATTO COM LOGIC - RHA4C58	Ccarvalhosilva				
TURNO 3	13/11/2025	303	7	VARGINHA 13.11 AD. REGISTRO 12.11 (1 PLT)  AD. PARANÁ 12.11 (1 PLT)  AD. SGC 12.11 (02 PLT)	AD. VARGINHA 12.11 - PENDENTE SEPARAR  AD.SGC 11.11 (901394511)  - P. BIPAR  AD. REGISTRO 11.11 - (901394530) - P.BIPAR AD. REGISTRO 12.11 (901390388) P. BIPAR  AD. REGISTRO 11.11 (90138992) - P. BIPAR	ZERADO	FP LOG - PEND. COLETA FP LOG - PEND. NF SOBRA DE PARANÁ (901394618) - PENDENTE BIPAR E CHECK  VARGINHA 13. 11 - EM DESCIDA	VAZIO	VARGINHA - PENDENTE BIPAR E CHECK	F1 - 901394793 (AGUARDANDO BAÚ)	02 FILEIRAS DE PALETES PARA ESTORNAR	1 BAÚ PIZZATTO COM LOGIC - RHA4C58 LISTA DE BOTICA SP (901193019 / 901193023) - PENDENTE SOLICITAR  PENDENTE MAPEAR AS OUTRAS DUAS REMESSAS DE BOTICA SP  PENDENTE SOLICITAR ADERÊNCIA DE SGC 13.11  PENDENTE MAPEAR ADERÊNCIA DE PARANÁ	Nicolly Araujo	0	0	0	0
TURNO 1	13/11/2025	170	4	BOTICA SP (901193023) AD. VARGINHA 13.11  ESTOJO PARA COMPLETAR CARGA LOGIC	SOBRA VARGINHA 13.11 (901408500) P. BIPAR AD. SGC 12.11 (901410363) P. BIPAR AD. SGC 11.11 (901394511) P. BIPAR 1 PLT DE DEVOLUÇÃO COM DIVERGENCIA NO INVENTÁRIO	ZERADO	FPLOG COM CHAMADO ABERTO  SOBRA DE PARANÁ (901394618) - PENDENTE BIPAR E COMPLETAR  AD. PARANÁ 13.11 (901409405) PENDENTE BIPAR E COMPLETAR  AD. PARANÁ 12.11 (901409909)  PENDENTE BIPAR E COMPLETAR  REGISTRO 13.11 - PEND. SEPARAR (FAZ PARTE DA MESMA CARGA) AD. REGISTRO 11.11 (901389992) (FAZ PARTE DA MESMA CARGA) AD. REGISTRO 12.11 (901390388) (FAZ PARTE DA MESMA CARGA) AD. REGISTRO 11.11 (901394530)(FAZ PARTE DA MESMA CARGA)	FPLOG COM CHAMADO ABERTO  SOBRA DE PARANÁ (901394618) - PENDENTE BIPAR E COMPLETAR  AD. PARANÁ 13.11 (901409405) PENDENTE BIPAR E COMPLETAR  AD. PARANÁ 12.11 (901409909)  PENDENTE BIPAR E COMPLETAR  REGISTRO 13.11 - PEND. SEPARAR (FAZ PARTE DA MESMA CARGA) AD. REGISTRO 11.11 (901389992) (FAZ PARTE DA MESMA CARGA) AD. REGISTRO 12.11 (901390388) (FAZ PARTE DA MESMA CARGA) AD. REGISTRO 11.11 (901394530)(FAZ PARTE DA MESMA CARGA)	REGISTRO PEND. REMESSA (FIFO3 SISTEMICO)	F1- 2 FILEIRAS PARA ESTORNAR	F1- PEND. DESBLOQUEIO	1 BAÚ PIZZATTO COM LOGIC - RHA4C58 LISTA DE BOTICA SP (901193024/ 901193025) - PENDENTE SOLICITAR PEND. SOLICITAR AD.SGC 13.11  PENDENTE MAPEAR ADERÊNCIA REGISTRO 13.11 EM OPORTUNIDADES SOLICITAR ESTOJO DE MÃES/26 E NATAL/24 DO TRANSELEVADOR	Nicole Vieira				
TURNO 2	13/11/2025	312	15	VARGINHA 14.11 BOTICA SP REMESSA 901193025 ESTJ ARMEX	DEVOLUÇÃO POLYMARK - AG. NF AD. SGC 11.11 2 PLTS - PEND. BIPAR AD. SGC 13.11 4 PLTS - PEND. BIPAR		AD. REGISTRO 11.11, 12.11 E 13.11 - PEND. BIPAR	SOBRA DE PARANÁ 14.11 4 PLTS - PEND. BIPAR VARGINHA - PEND. CARREGAMENTO	VARGINHA 14.11 (DOUBLE DECK) - EM SEPARAÇÃO	F1 - PEND. ESTORNO	F1 - EM SEPARAÇÃO	LISTA CRIADA 14.11 PEND. SOLICITAR AD. VARGINHA 13.11  PEND. MAPEAR AD. PARANÁ 14.11 PEND. MAPEAR FP LOG	Ccarvalhosilva				
TURNO 3	14/11/2025	246	10	BOTICA SP (901193026) SGC 14.11	DEVOLUÇÃO POLYMARK - AG. NF AD. SGC 11.11 (901394511) - PEND. BIPAR AD. SGC 12.11 (901410363) - PEND. BIPAR AD. SGC 13.11 (901439324) - PEND. BIPAR SOBRA DE PARANÁ 14.11 (901439782) - PEND. BIPAR AD. VARGINHA 13.11 (901451382) - PEND. BIPAR PLTS PARA ARMAZENAR	VAZIO	FPLOG - AG. CHAMADO FPLOG - AG. NF SGC - EM DESCIDA	SOBRA REGISTRO 14.11 (901451878) - PEND. BIPAR	AD. PARANÁ 14.11 (901451382) - PEND. BIPAR FPLOG - 3 REMESSAS (901375894 / 901375853 / 901375795)	F1 - AGUARDANDO BAÚ (901451317)	VAZIO	PEND. SOLICITAR AD. VARGINHA 14.11 LISTA DE BOTICA SP CRIADA PEND. CRIAR LISTA SJP PEND. MAPEAR AD. REGISTRO 14.11 ITENS VALOR LÍQUIDO: 88055 / 87556 / 49944	Santos Gisele	0	0	0	0
TURNO 1	14/11/2025	100	3	AD. VARGINHA 14.11 AD. PARANÁ 14.11 AD. REGISTRO 14.11 BISNAGA ESTOJO (FÓRMULA 1)	DEVOLUÇÃO POLYMARK - AG. NF AD. VARGINHA 13.11 (901451382) - PEND. BIPAR PLTS PARA ARMAZENAR	VAZIO	FPLOG - AG. CHAMADO FPLOG - AG. NF SGC (901457275, 901456491, 901439324, 901410363 E 901394511) EM CARREGAMENTO PLTS PARA ARMAZENAR	SOBRA REGISTRO 14.11 (901451878) - PEND. BIPAR SOBRA DE PARANÁ 14.11 (901439782) - PEND. BIPAR AD. PARANÁ 14.11 EM DESCIDA AD. REGISTRO 14.11 EM DESCIDA AD. VARGINHA 14.11 EM DESCIDA SJP ODISSEIA (901361451) EM DESCIDA	BOTICA SP (901193026) PEND. S4 FPLOG - 3 REMESSAS (901375894 / 901375853 / 901375795) EM CARREGAMENTO	PENDENTE ESTORNO	F1 - PEND. REMESSA	PEND. SOLICITAR AD. DE SGC 14.11 LISTAS CRIADAS DE SJP (901361503/ 901362646/ 901363073) PEND. SOLICITAR LISTA BOTICA SP (90119321) PEND. SOLICITAR LISTA DO ITEM 87556 CRIADA (VARGINHA/SGC/REGISTRO) -PRIORIDADE DRP 60 pallets de bisnaga solicitados	Ellen Carolina				
TURNO 2	14/11/2025	305	12	SJP REMESSA 901482305	AD REGISTRO 14.11 - PEND. SPLIT DEVOLUÇÃO POLYMARK - PEND. COLETA		FP LOG - PEND. NF BOTICA SP REMESSAS 901193021 E 901407708 - EM SEPARAÇÃO	SJP - PEND. CARREGAMENTO	AD VARGINHA 14.11 - PEND. CARREGAMENTO AD. SGC 14.11 - PEND. SPLIT	F1 - PEND. ESTORNO	F1 - PEND. CARREGAMENTO	PEND. CRIAR LISTA DE 17.11 PEND. SOLICITAR SJP E BOTICA SP 1 NF DE BANDEJA - PEND. EXPEDIR	Ccarvalhosilva				
TURNO 3	15/11/2025	231	9	AD. VARGINHA 14.11 AD. SGC 14.11 AD. REGISTRO 14.11	AD REGISTRO 14.11 - PEND. SPLIT DEVOLUÇÃO POLYMARK - PEND. COLETA	VAZIO	FP LOG - PEND. NF BOTICA SP (901407690) - PEND. BIPAR AD. PARANÁ 14.11 - 901439782 AD. PARANÁ 14.11 - 901451689 AD. PARANÁ 14.11 - 901476888	SOBRA REGISTRO 17.11 - PEND. CRIAR REMESSA AD REGISTRO 14.11 (901490199) - PEND. SPLIT	REGISTRO 17.11 (901500344) - EM CARREGAMENTO AD. SGC 14.11 - PEND. SPLIT SJP (901482305) - AG. COMPLEMENTAR CARGA/PEND. TM	F1 - PEND. CARREGAMENTO (901501110)	F1 - PEND. ESTORNO	PEND. SOLICITAR VARGINHA 17.11 PEND. MAPEAR PARANÁ E SGC 17.11 PEND. MAPEAR AD. REGISTRO 17.11 PEND. MAPEAR BOTICA 16.11 - 901407708	Santos Gisele	0	0	0	0
TURNO 3	16/11/2025	57	1	PALETES DA ÁREA DE SEPARAÇÃO	PALETES PARA VERIFICAR E ARMAZENAR		FP LOG - PEND. NF AD. PARANÁ  901451689 - PEND BIPAR AD. PARANÁ  901476888 - PEND BIPAR AD. PARANÁ  901439782 - PEND BIPAR AD. REGISTRO 901490199 - PEND BIPAR AD. REGISTRO 901501187 - PEND BIPAR	PALETES DA ÁREA DE SEPARAÇÃO	JP ODISSEIA 901482305- PEND TM AD SGC - 901490552 - PEND BIPAR AD. REGISTRO 14.11 (901535782) - PEND. BIPAR AD. SGC 14.11 (901535882) - PEND. BIPAR AD. VARGINHA 14.11 (901535910) - PEND. BIPAR	F1 - EM CARREGAMENTO	F1 - PALETES PEND. ESTORNO	PEND. CRIAR LISTA DE PARANÁ E SGC LISTA CRIADA DE BOTICA SP 16.11 NA ABA DO 1040 (901407708)	Bezerra Josefa				
TURNO 1	16/11/2025	101	4	ZERADO	PALETES PARA VERIFICAR E ARMAZENAR AD. SGC 14.11 (901535882) - PEND BIPAR AD. SGC 14.11 (901490552) - PEND BIPAR SOBRA PARANA 17.11 (901543833) - PEND BIPAR	ZERADO	FP LOG - PEND. NF AD. REGISTRO (901490199) - PEND CARREGAMENTO *AD. REGISTRO (901501187) - PEND CARREGAMENTO AD. REGISTRO (901535782) - PEND CARREGAMENTO AD. REGISTRO (901541065) - PEND CARREGAMENTO PALLETS SEPARAÇÃO - CONTAGEM	PALLETS SEPARAÇÃO - CONTAGEM VARGINHA 17.11 (901544140) - PEND BIPAR AD. VARGINHA 14.11 (901535910) - PEND. BIPAR	JP ODISSEIA 901482305- PEND TM VARGINHA 17.11 (901544140) - PEND BIPAR AD. VARGINHA 14.11 (901535910) - PEND. BIPAR	VARGINHA 17.11 EM SEPARAÇÃO	* F1 -  2 FILEIRAS ESTORNADAS 2 FILEIRASPALETES PEND. ESTORNO	MAPA DIA 17.11 TODOS OS DESTINOS CRIADOS MAPEAR AD. PARANA/VARGINHA SOLICITA MAPA SGC 17.11 CRIAR LISTA EXPORTAÇÃO	Ellen Carolina				
TURNO 3	17/11/2025	225	8	ZERADO	PALETES PARA VERIFICAR E ARMAZENAR SOBRA PARANA 17.11 (901543833) - PEND BIPAR	ZERADO	FP LOG - PEND. NF BOTICA SP (901407708) - PEND. SPLIT BOTICA SP (901407706) - PEND. BIPAR	PALETES DE CONTAGEM PARA ARMAZENAR AD. VARGINHA 17.11 (901566984) - PEND. BIPAR AD. PARANÁ 17.11 (901567075) - PEND. BIPAR AD. SGC 17.11 (901567163) - PEND. BIPAR	SJP (901482305) - PEND. TM EXPORTAÇÃO (901471735) - PEND. SPLIT	F1 - PEND. ESTORNO	F1 -  AGUARDANDO BAÚ (901548167) F1 - AGUARDANDO BAÚ (901564218)	4 BAÚ DA PIZZATTO OCUPADO COM LOGIC - REMESSA:901523658 - REMESSA:901518595 - REMESSA:901526186 - REMESSA:901534805	Santos Gisele	0	0	0	0
TURNO 1	17/11/2025	48	1	SGC 18.11	SOBRA PARANA 17.11 (901543833) - PEND BIPAR DEVOLUÇÃO PEND. NF  DEVOLUÇÃO PEND. COLETA  AD.EXPORTAÇÃO 17.11 (SEPARADO NO FIFO 1A) REMESSA 901584020	ZERADO	FP LOG - PEND. NF AD. PARANÁ 17.11 (901567075) - PEND. BIPAR AD. REGISTRO 17.11 (901570176)- PEND. BIPAR SGC. 18.11 EM DESCIDA	AD. VARGINHA 17.11 (901566984) - PEND. BIPAR AD. SGC 17.11 (901567163) - PEND. BIPAR	SJP (901482305) - PEND. CARREGAMENTO  EXPORTAÇÃO (901471735) - PEND. CARREGAMENTO	F1 - PEND. ESTORNO F1 AGUARDANDO BAÚ (901574313)	F1 AGUARDANDO BAÚ (901548167) F1 (901564218) EM CARREGAMENTO	4 BAÚ DA PIZZATTO OCUPADO COM LOGIC: REMESSA:901523658 REMESSA:901518595 REMESSA:901526186 LISTA 18.11 CRIADA PARANÁ/REGISTRO  PEND. CRIAR LISTA 18.11 SGC E EXPORTAÇÃO	Nicole Vieira				
TURNO 3	18/11/2025	254	8	AD. REGISTRO 18.11 AD. PARANÁ 18.11	DEVOLUÇÃO PEND. NF DEVOLUÇÃO PEND. COLETA AD. EXPORTAÇÃO 17.11 (901584020) - PEND. BIPAR AD. REGISTRO 17.11 (901570176) - PEND. BIPAR AD. SGC 18.11 (901618765) - PEND. BIPAR SOBRA REGISTRO 18.11 (901621546) - PEND. BIPAR	VAZIO	FP LOG - PEND. NF AD. VARGINHA 18.11 (901622206) - PEND BIPAR	VAZIO	EXPORTAÇÃO (901579030) - PEND SPLIT	F1 - PEND DUPLO CHECK/CRIAR REMESSA (FIFO4 SISTÊMICO)	F1 - PEND. ESTORNO	2 BAÚ DA PIZZATTO OCUPADO COM LOGIC - PEND TRANSBORBO LISTA DEVOLUÇÃO 19.11 - CRIADA	Santos Gisele	0	0	0	0
TURNO 1	18/11/2025	229	5	VARGINHA 19.11	DEVOLUÇÃO PEND. NF DEVOLUÇÃO PEND. COLETA AD. SGC 18.11 (901618765) - PEND. BIPAR SOBRA REGISTRO 18.11 (901621546) - PEND. BIPAR AD. REGISTR0 18.11 (901625628) -PEND. BIPAR AD. PARANÁ 18.11 (901625342) -PEND. BIPAR	ZERADO	FP LOG - PEND. NF AD. VARGINHA 18.11 (901622206) - PEND BIPAR BOTICA SP (901592452) PEND.CARREGAMENTO	SJP DEVOLUÇÃO FORNECEDOR (901596387) EM SEPARAÇÃO	SJP 19.11 (901603585) - PEND. CARREGAMENTO  AD. EXPORTAÇÃO 17.11 (86056767) - PEND. CARREGAMENTO	F1- 2 FILEIRAS ESTORNADAS	F1- AGUARDANDO BAÚ E REMONTE (901630003)	1 BAÚ DA PIZZATTO OCUPADO COM LOGIC - PEND TRANSBORBO LISTA DEVOLUÇÃO 21.11 - CRIADA LISTA MAPA 19.11 CRIADA VARGINHA/ REGISTRO  PEND. CRIAR PARANÁ E SGC 18.11	Nicole Vieira				
TURNO 3	19/11/2025	386	12	SGC 19.11 PARANÁ 19.11 (55 UCs)	DEVOLUÇÃO PEND. NF DEVOLUÇÃO PEND. COLETA AD. SGC 18.11 (901618765) - PEND. BIPAR AD. PARANÁ 18.11 (901625342) -PEND. BIPAR AD. SGC 18.11 (901656968) - PEND. BIPAR AD. VARGINHA 19.11 (901680312) - PEND BIPAR	VAZIO	FP LOG - PEND. NF SGC - EM DESCIDA	SGC - PEND. CARREGAMENTO/TM	SOBRA PARANÁ 19.11 (901680874) - PEND. BIPAR AD. REGISTRO 19.11 (901681021) - PEND. BIPAR SJP REMESSA (901603585) PEND.ESTORNAR NOTA ( CHAMADO ABERTO)	F1- PEND. ESTORNO	F1- PEND. CARREGAMENTO (901673716)	1 BAÚ DA PIZZATTO OCUPADO COM LOGIC - PEND TRANSBORBO PEND. SOLICITAR PARANÁ 19.11 CHAMADO ABERTO REMESSA: SJP 901603585 PEND.ESTORNAR NOTA LO LIVRE, REMESSA: 901680429, CHAMADO ABERTO	Santos Gisele	0	0	0	0
TURNO 1	19/11/2025	189	6	SOBRA SGC 19.11  AD. PARANÁ 19.11	DEVOLUÇÃO PEND. NF DEVOLUÇÃO PEND. COLETA MP REMESSA (901603696) - PEND. SPLIT  SOBRA VARGINHA 19.11 (901665886) - PEND BIPAR AD. VARGINHA 19.11 (901680312) - PEND BIPAR AD. REGISTRO 19.11 (901681021) - PEND BIPAR	ZERADO	FP LOG - PEND. NF SGC 19.11 DOBLO DECK (901687852/901699132) PEND. CARREGAMENTO	SOBRA SGC 19.11 EM SEPARAÇÃO (FIFO2)	SJP REMESSA (901603585) - ( CHAMADO ABERTO) EXPORTAÇÃO (86056767)  SOBRA PARANÁ 19.11 (901696163)- PEND BIPAR	F1- (901700651) -FATURADO/ PIZZATTO ATUANDO	F1- F1 1 FILEIRA PEND. ESTORNO E OS DEMAIS ESTORNADOS FRASCO PARA LEVAR PARA MP (DESMOBILIZAÇÃO)	CHAMADO ABERTO REMESSA: SJP 901603585  PEND. MAPEAR AD. SGC 19.11  LISTA FPLOG 19.11 CRIADA PEND. SOLICITAR	Nicole Vieira				
